original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Voionmaa, Väinö	1869-1947.	Voionmaa, Väinö (1869-1947)	1869	1947	 2
Corte, Jacobus Henrici	1658-1679.	Corte, Jacobus Henrici (1658-1679)	1658	1679	 2
Haartman, Gabriel Ericus von	1757-1815	Haartman, Gabriel Ericus Von (1757-1815)	1757	1815	 2
Raumannus, Johannes Svenonis	s. n. 1570, k. 1614.	Raumannus, Johannes Svenonis (1570-1614)	1570	1614	 2
Sjöström, Axel Gabriel	1794-1846.	Sjöström, Axel Gabriel (1794-1846)	1794	1846	 2
Sundwall, Johannes Matthias	1793-1843	Sundwall, Johannes Matthias (1793-1843)	1793	1843	 2
Hoffrenius, Petrus Henrici	k. 1699.	Hoffrenius, Petrus Henrici (1699-NA)	1699	NA	 2
Genetz, Arvid	1848-1915	Genetz, Arvid (1848-1915)	1848	1915	 2
Hacks, Alexander	k. 1740.	Hacks, Alexander (1740-NA)	1740	NA	 2
Bilmark, Johannes	1728-1801.	Bilmark, Johannes (1728-1801)	1728	1801	 2
Jääskeläinen, Viljo	1886-1946.	Jääskeläinen, Viljo (1886-1946)	1886	1946	 2
Hipping, Anders Johan	1788-1862.	Hipping, Anders Johan (1788-1862)	1788	1862	 2
Neovius, Edvard	1823-1888.	Neovius, Edvard (1823-1888)	1823	1888	 2
Finno, Jacobus	n. 1540-1588.	Finno, Jacobus (1540-1588)	1540	1588	 2
Stenbäck, Lars	1811-1870.	Stenbäck, Lars (1811-1870)	1811	1870	 2
Bonsdorff, Johannes	1772-1840.	Bonsdorff, Johannes (1772-1840)	1772	1840	 2
Europaeus, D. E. D	1820-1884.	Europaeus, D E D (1820-1884)	1820	1884	 2
Gestrinius, Ernestus Thomae	1663-1739.	Gestrinius, Ernestus Thomae (1663-1739)	1663	1739	 2
Frosterus, Berndt Leonard	1808-1887.	Frosterus, Berndt Leonard (1808-1887)	1808	1887	 2
Haartman, Johannes Johannis	1725-1787	Haartman, Johannes Johannis (1725-1787)	1725	1787	 2
Salamnius, Mattias	k. 1691.	Salamnius, Mattias (1691-NA)	1691	NA	 2
Nordenankar, Johann	1722-1804.	Nordenankar, Johann (1722-1804)	1722	1804	 2
Ingman, Lauri	1868-1934.	Ingman, Lauri (1868-1934)	1868	1934	 2
Lagus, Aina	1861-1939.	Lagus, Aina (1861-1939)	1861	1939	 2
Deutsch, David Henrici	1735-1783.	Deutsch, David Henrici (1735-1783)	1735	1783	 2
Krohn, Helmi	1871-1967	Krohn, Helmi (1871-1967)	1871	1967	 2
Allardt, Anders	1855-1942.	Allardt, Anders (1855-1942)	1855	1942	 2
Pippingsköld, Josephus Gustavi	1760-1815.	Pippingsköld, Josephus Gustavi (1760-1815)	1760	1815	 2
Hwasser, Israel	1790-1860.	Hwasser, Israel (1790-1860)	1790	1860	 2
Hyvärinen, Eero	1859-1931	Hyvärinen, Eero (1859-1931)	1859	1931	 2
Lindebäck, Jacob	1765-1820	Lindebäck, Jacob (1765-1820)	1765	1820	 2
Holma, Harri	1886-1954.	Holma, Harri (1886-1954)	1886	1954	 2
Kajava, Yrjö	1884-1929.	Kajava, Yrjö (1884-1929)	1884	1929	 2
Åberg, G. A	1854-1888.	åberg, G A (1854-1888)	1854	1888	 2
Streng, Adolf V	1852-1933.	Streng, Adolf V (1852-1933)	1852	1933	 2
Augustinus	354-430.	Augustinus, 	NA	NA	 2
Haartman, Carolus Daniel von	1792-1877	Haartman, Carolus Daniel Von (1792-1877)	1792	1877	 2
Törngren, Johannes Agapetus	1772-1859	Törngren, Johannes Agapetus (1772-1859)	1772	1859	 2
Bonsdorff, Jacobus	1763-1831.	Bonsdorff, Jacobus (1763-1831)	1763	1831	 2
Renvall, Gustaf	1781-1841	Renvall, Gustaf (1781-1841)	1781	1841	 2
Schybergson, Emil	1856-1920.	Schybergson, Emil (1856-1920)	1856	1920	 2
Waaranen, K. A	1849-1923.	Waaranen, K A (1849-1923)	1849	1923	 2
Nesselius, Israel Johannes	1667-1739	Nesselius, Israel Johannes (1667-1739)	1667	1739	 2
Råbergh, Herman	1838-1920.	Råbergh, Herman (1838-1920)	1838	1920	 2
Ehrensvärd, Augustin	1710-1772.	Ehrensvärd, Augustin (1710-1772)	1710	1772	 2
Malin, V	1863-1937.	Malin, V (1863-1937)	1863	1937	 2
Weman, Carolus Gustavus	1740-1803.	Weman, Carolus Gustavus (1740-1803)	1740	1803	 2
Hallman, Carolus Gustavus	1698-1770.	Hallman, Carolus Gustavus (1698-1770)	1698	1770	 2
Koskinen, Yrjö Sakari	1830-1903.	Koskinen, Yrjö Sakari (1830-1903)	1830	1903	 2
Wanochius, Andreas Jacobi	1651-1700.	Wanochius, Andreas Jacobi (1651-1700)	1651	1700	 2
Biurman, Georg	1700-1755.	Biurman, Georg (1700-1755)	1700	1755	 2
Kallas, Aino	1878-1956.	Kallas, Aino (1878-1956)	1878	1956	 2
Faltin, Richard	1867-1923.	Faltin, Richard (1867-1923)	1867	1923	 2
Törmälä, Emanuel	1849-1900.	Törmälä, Emanuel (1849-1900)	1849	1900	 2
Yrjö-Koskinen, Th	1838-1919.	Yrjö-koskinen, Th (1838-1919)	1838	1919	 2
Lönnrot, Elias	1802-1884.	Lönnrot, Elias (1802-1884)	1802	1884	 2
Lehtinen, Taavi	1858-1933.	Lehtinen, Taavi (1858-1933)	1858	1933	 2
Reuter, Samuel Laurentii	k. 1679.	Reuter, Samuel Laurentii (1679-NA)	1679	NA	 2
Hukkinen, Yrjö	1886-1946.	Hukkinen, Yrjö (1886-1946)	1886	1946	 2
Rinne, Juhani	1872-1950.	Rinne, Juhani (1872-1950)	1872	1950	 2
Rudeen, Torsten	1661-1729.	Rudeen, Torsten (1661-1729)	1661	1729	 2
Borg, Aron Gustaf	1810-1883.	Borg, Aron Gustaf (1810-1883)	1810	1883	 2
Bomansson, Karl August	1827-1906.	Bomansson, Karl August (1827-1906)	1827	1906	 2
Nortamo, Hj	1860-1931.	Nortamo, Hj (1860-1931)	1860	1931	 2
Anttila, Selma	1867-1942.	Anttila, Selma (1867-1942)	1867	1942	 2
Wanonius, Johannes	1769-1810.	Wanonius, Johannes (1769-1810)	1769	1810	 2
Wallin, Olai	1832-1896.	Wallin, Olai (1832-1896)	1832	1896	 2
Alm, Magnus Caroli	s. n. 1660, k. 1708.	Alm, Magnus Caroli (1660-1708)	1660	1708	 2
Terserus, Johannes Elai	1605-1678.	Terserus, Johannes Elai (1605-1678)	1605	1678	 2
Runeberg, Efraim Otto	1722-1770.	Runeberg, Efraim Otto (1722-1770)	1722	1770	 2
Kallio, Elin Oihonna	1859-1927.	Kallio, Elin Oihonna (1859-1927)	1859	1927	 2
Hesselius, Andreas	1714-1762.	Hesselius, Andreas (1714-1762)	1714	1762	 2
Anttila, Werner	1869-1954.	Anttila, Werner (1869-1954)	1869	1954	 2
Brenner, Petrus Johannis	1677-1720.	Brenner, Petrus Johannis (1677-1720)	1677	1720	 2
Tengström, Johan Jakob	1787-1858.	Tengström, Johan Jakob (1787-1858)	1787	1858	 2
Eskola, Pentti	1883-1964.	Eskola, Pentti (1883-1964)	1883	1964	 2
Sundwall, Johannes Matthias	1793-1843.	Sundwall, Johannes Matthias (1793-1843)	1793	1843	 2
Brahe, Per	1602-1680.	Brahe, Per (1602-1680)	1602	1680	 2
Cajanus, Johannes Andreae	1626-1703.	Cajanus, Johannes Andreae (1626-1703)	1626	1703	 2
Jahnsson, Evald Ferdinand	1844-1895.	Jahnsson, Evald Ferdinand (1844-1895)	1844	1895	 2
Launis, Armas	1884-1959.	Launis, Armas (1884-1959)	1884	1959	 2
Ervast, Pekka	1875-1934.	Ervast, Pekka (1875-1934)	1875	1934	 2
Petraeus, Andreas Aeschilli	1630-1694	Petraeus, Andreas Aeschilli (1630-1694)	1630	1694	 2
Melander, Gustaf	1861-1938.	Melander, Gustaf (1861-1938)	1861	1938	 2
Rancken, J. Oskar I	1824-1895.	Rancken, J Oskar I (1824-1895)	1824	1895	 2
Ekedahl, Jonas Svenonis	k. 1707.	Ekedahl, Jonas Svenonis (1707-NA)	1707	NA	 2
Hannikainen, Pietari	1813-1899.	Hannikainen, Pietari (1813-1899)	1813	1899	 2
Schultén, Nathanael Gerhard af	1750-1825.	Schultén, Nathanael Gerhard Af (1750-1825)	1750	1825	 2
Setälä, Helmi	1871-1967	Setälä, Helmi (1871-1967)	1871	1967	 2
Haapalainen, Eero	1880-1937.	Haapalainen, Eero (1880-1937)	1880	1937	 2
Sandman, Jonas Albert	1866-1947	Sandman, Jonas Albert (1866-1947)	1866	1947	 2
Soini, Lauri	1875-1919.	Soini, Lauri (1875-1919)	1875	1919	 2
Lacmannus, Barthollus Johannis	k. 1679.	Lacmannus, Barthollus Johannis (1679-NA)	1679	NA	 2
Schultén, Nathanael Gerhard af	1794-1860.	Schultén, Nathanael Gerhard Af (1794-1860)	1794	1860	 2
Porthan, Henrik Gabriel	1739-1804.	Porthan, Henrik Gabriel (1739-1804)	1739	1804	 2
Neuman, Jacob	1701-1768.	Neuman, Jacob (1701-1768)	1701	1768	 2
Alfthan, Axel	1862-1934.	Alfthan, Axel (1862-1934)	1862	1934	 2
Klockars, Johannes	1867-1932.	Klockars, Johannes (1867-1932)	1867	1932	 2
Wång, Johannes Petri	k. 1728.	Wång, Johannes Petri (1728-NA)	1728	NA	 2
Becker, Reinhold von	1788-1858	Becker, Reinhold Von (1788-1858)	1788	1858	 2
Kianto, Ilmari	1874-1970.	Kianto, Ilmari (1874-1970)	1874	1970	 2
Dannholm, Fredrik Oskar	1847-1930.	Dannholm, Fredrik Oskar (1847-1930)	1847	1930	 2
Samuli S	1850-1907.	Samuli,  (1850-1907)	1850	1907	 2
Lemström, Henricus	1739-1771.	Lemström, Henricus (1739-1771)	1739	1771	 2
Kilpeläinen, E	1879-1941.	Kilpeläinen, E (1879-1941)	1879	1941	 2
Schefferus, Johannes Johannis	1621-1679.	Schefferus, Johannes Johannis (1621-1679)	1621	1679	 2
Tanttu, Antti	1884-1962.	Tanttu, Antti (1884-1962)	1884	1962	 2
Flachsenius, Johan	1636-1708.	Flachsenius, Johan (1636-1708)	1636	1708	 2
Schenberg, Daniel Johannis	k. 1715.	Schenberg, Daniel Johannis (1715-NA)	1715	NA	 2
Ihre, Johannes	1707-1780	Ihre, Johannes (1707-1780)	1707	1780	 2
Halonen, Kaarlo	1864-1927.	Halonen, Kaarlo (1864-1927)	1864	1927	 2
Mathesius, Gabriel Nicolai	1705-1772.	Mathesius, Gabriel Nicolai (1705-1772)	1705	1772	 2
Schulten, Samuel	1680-1752	Schulten, Samuel (1680-1752)	1680	1752	 2
Wuorinen, Anton	1853-1930	Wuorinen, Anton (1853-1930)	1853	1930	 2
Alfthan, Georg A. von	1828-1896.	Alfthan, Georg A Von (1828-1896)	1828	1896	 2
Pippingsköld, J	1825-1892.	Pippingsköld, J (1825-1892)	1825	1892	 2
Inha, I. K	1865-1930.	Inha, I K (1865-1930)	1865	1930	 2
Lönneström, David	n. 1746-1819.	Lönneström, David (1746-1819)	1746	1819	 2
Wallin, Väinö	1869-1947.	Wallin, Väinö (1869-1947)	1869	1947	 2
Alanus, Georgius Christophori	1609-1664.	Alanus, Georgius Christophori (1609-1664)	1609	1664	 2
Ganander, Christfrid	1741-1790.	Ganander, Christfrid (1741-1790)	1741	1790	 2
Sadelin, Petrus Ulricus Ferdinandus	1788-1858	Sadelin, Petrus Ulricus Ferdinandus (1788-1858)	1788	1858	 2
Forsman, Kaarlo	1851-1918.	Forsman, Kaarlo (1851-1918)	1851	1918	 2
Edelcrantz, Abraham Niclas	1754-1821.	Edelcrantz, Abraham Niclas (1754-1821)	1754	1821	 2
Agander, Nicolaus Georgius	1761-1792.	Agander, Nicolaus Georgius (1761-1792)	1761	1792	 1
Spöring, Hermannus Dietericus	1701-1747.	Spöring, Hermannus Dietericus (1701-1747)	1701	1747	 1
Korhonen, Arvi	1890-1967.	Korhonen, Arvi (1890-1967)	1890	1967	 1
Virginius, Andreas	1596-1664	Virginius, Andreas (1596-1664)	1596	1664	 1
Brenner, Magnus	1843-1930.	Brenner, Magnus (1843-1930)	1843	1930	 1
Hwal, Elisaeus Eliae	k. 1708.	Hwal, Elisaeus Eliae (1708-NA)	1708	NA	 1
Peldan, Israel Henrici	k. 1747.	Peldan, Israel Henrici (1747-NA)	1747	NA	 1
Granit-Ilmoniemi, Bruno	1855-1939.	Granit-ilmoniemi, Bruno (1855-1939)	1855	1939	 1
Grotenfelt, N. Karl	1878–1961.	Grotenfelt, N Karl	NA	NA	 1
Justander, Ericus Johannis	1623-1678.	Justander, Ericus Johannis (1623-1678)	1623	1678	 1
Holstius, Johannes	1777-1804	Holstius, Johannes (1777-1804)	1777	1804	 1
Bringius, Israel Nicolai	1587-1662.	Bringius, Israel Nicolai (1587-1662)	1587	1662	 1
Wikström, Matias Wilhelm	1804-1835.	Wikström, Matias Wilhelm (1804-1835)	1804	1835	 1
Granfelt, Axel Fredrik	1815-1892.	Granfelt, Axel Fredrik (1815-1892)	1815	1892	 1
E. B	1700-luku	E,  (1700-NA)	1700	NA	 1
Sjöstedt, Carolus Gustavus	1799-1834	Sjöstedt, Carolus Gustavus (1799-1834)	1799	1834	 1
Puhdaskoski, K. A	1890-1910	Puhdaskoski, K A (1890-1910)	1890	1910	 1
A. W	1700-luku.	A,  (1700-NA)	1700	NA	 1
Kauppis-Heikki	1862-1920.	Kauppis-heikki,  (1862-1920)	1862	1920	 1
M. Gt	1850-1926.	Gt, M (1850-1926)	1850	1926	 1
Eurenius, Jacobus Abrahami	1625-1714.	Eurenius, Jacobus Abrahami (1625-1714)	1625	1714	 1
Falcken, Wilhelm Reinhold	s. 1729	Falcken, Wilhelm Reinhold (1729-NA)	1729	NA	 1
Arctopolitanus, Gabriel Gregorii	k. 1682.	Arctopolitanus, Gabriel Gregorii (1630-1682)	1630	1682	 1
Kanniainen, Kyösti	1871-1915.	Kanniainen, Kyösti (1871-1915)	1871	1915	 1
Sadelin, Petrus Ulricus Ferdinandus	1788-1858.	Sadelin, Petrus Ulricus Ferdinandus (1788-1858)	1788	1858	 1
K. A. A	1846-1937.	K,  (1846-1937)	1846	1937	 1
E. A-g	1852-1929.	A-g, E (1852-1929)	1852	1929	 1
Leche, Johannes	1704-1764.	Leche, Johannes (1704-1764)	1704	1764	 1
Petraeus, Johan Andersson	k. 1739.	Petraeus, Johan Andersson (1739-NA)	1739	NA	 1
Sjöros, Juho	1856-1890.	Sjöros, Juho (1856-1890)	1856	1890	 1
Tamlander, Zacharias	1771-1828	Tamlander, Zacharias (1771-1828)	1771	1828	 1
Wetterblad, Andreas	1716-1774.	Wetterblad, Andreas (1716-1774)	1716	1774	 1
Wallenstierna, Gustaf	1715-1747.	Wallenstierna, Gustaf (1715-1747)	1715	1747	 1
Törnecreutz, Johan Johansson	s. n. 1660, k. 1722.	Törnecreutz, Johan Johansson (1660-1722)	1660	1722	 1
Wendelius, Johannes Johannis	k. 1719.	Wendelius, Johannes Johannis (1719-NA)	1719	NA	 1
Auvinen, A	1857-1918.	Auvinen, A (1857-1918)	1857	1918	 1
Hongell, Alma	1849-1935	Hongell, Alma (1849-1935)	1849	1935	 1
Snellman, Lina	1846-1924.	Snellman, Lina (1846-1924)	1846	1924	 1
Hellenius, Petrus Jonae	k. 1657	Hellenius, Petrus Jonae (1657-NA)	1657	NA	 1
Brenner, Mårten	1926-2012.	Brenner, Mårten (1926-2012)	1926	2012	 1
-r-r	1847-1893.	-r-r,  (1847-1893)	1847	1893	 1
Bremer, Fredrika	1801-1865.	Bremer, Fredrika (1801-1865)	1801	1865	 1
Warén, Aksel	1869-1899.	Warén, Aksel (1869-1899)	1869	1899	 1
Velstenius, Henricus	k. 1611.	Velstenius, Henricus (1611-NA)	1611	NA	 1
Afzelius, Andreas Ericus	1779-1850	Afzelius, Andreas Ericus (1779-1850)	1779	1850	 1
Bergh, Mimmi	1845-1932.	Bergh, Mimmi (1845-1932)	1845	1932	 1
Starck, David Gustavi	1710-1778.	Starck, David Gustavi (1710-1778)	1710	1778	 1
Harmaja, Laura	1881-1954.	Harmaja, Laura (1881-1954)	1881	1954	 1
Virtala, Esko	1864-1927.	Virtala, Esko (1864-1927)	1864	1927	 1
Renqvist, Henrik	1789-1866.	Renqvist, Henrik (1789-1866)	1789	1866	 1
Kukkonen, Mikko	1842-1894.	Kukkonen, Mikko (1842-1894)	1842	1894	 1
Smo	1875-1919	Smo,  (1875-1919)	1875	1919	 1
Röring, Andreas	1752-1788	Röring, Andreas (1752-1788)	1752	1788	 1
Sjöstedt, Carolus Gustavus	1799-1834.	Sjöstedt, Carolus Gustavus (1799-1834)	1799	1834	 1
Lund, Carolus	1638-1715.	Lund, Carolus (1638-1715)	1638	1715	 1
Lagermarck, Johan Svensson	1622-1691	Lagermarck, Johan Svensson (1622-1691)	1622	1691	 1
Choraeus, Troelius Olai	1613-1699.	Choraeus, Troelius Olai (1613-1699)	1613	1699	 1
Miödh, Jonas Magni	k. 1711	Miödh, Jonas Magni (1711-NA)	1711	NA	 1
Manninen, Otto	1872-1950.	Manninen, Otto (1872-1950)	1872	1950	 1
Murick, Johannes Andreae	1651-1679.	Murick, Johannes Andreae (1651-1679)	1651	1679	 1
Stenbäck, Laurentius	1710-1742.	Stenbäck, Laurentius (1710-1742)	1710	1742	 1
Lilius, Karl Gustaf	1804-1857.	Lilius, Karl Gustaf (1804-1857)	1804	1857	 1
Ståhlberg, Israël	1747-1816.	Ståhlberg, Israël (1747-1816)	1747	1816	 1
Ritz, Carolus Conradus	1758-1803.	Ritz, Carolus Conradus (1758-1803)	1758	1803	 1
Haartman, Gabriel Ericus von	1757-1815.	Haartman, Gabriel Ericus Von (1757-1815)	1757	1815	 1
Polén, Rietrik	1823-1884.	Polén, Rietrik (1823-1884)	1823	1884	 1
Rudenschöld, Ulrik	1704-1765.	Rudenschöld, Ulrik (1704-1765)	1704	1765	 1
L'Ecluse, Jacques de	k. 1744.	L'ecluse, Jacques De (1744-NA)	1744	NA	 1
Lagercrona, Johan Mattsson	1618-1674.	Lagercrona, Johan Mattsson (1618-1674)	1618	1674	 1
Weman, Carolus Gustavus	1740-1803	Weman, Carolus Gustavus (1740-1803)	1740	1803	 1
Favorinus, Johannes Gregorii	1633-1672.	Favorinus, Johannes Gregorii (1633-1672)	1633	1672	 1
Clewberg, Christophorus	1706-1776.	Clewberg, Christophorus (1706-1776)	1706	1776	 1
Lindell, Johannes Erici	n. 1720-1787.	Lindell, Johannes Erici (1720-1787)	1720	1787	 1
Cajan, Juhana Fredrik	1815-1887.	Cajan, Juhana Fredrik (1815-1887)	1815	1887	 1
Erkko, Eero	1860-1927.	Erkko, Eero (1860-1927)	1860	1927	 1
Melartin, Erik Gabriel	1780-1847	Melartin, Erik Gabriel (1780-1847)	1780	1847	 1
Turunen, Armas E	1886-1909.	Turunen, Armas E (1886-1909)	1886	1909	 1
Luoto, Kaarlo	1875-1947.	Luoto, Kaarlo (1875-1947)	1875	1947	 1
Gestrin, Emil Teodor	1831-1895.	Gestrin, Emil Teodor (1831-1895)	1831	1895	 1
Impola, Heikki	1887-1971.	Impola, Heikki (1887-1971)	1887	1971	 1
Numers, Gustaf von	1848-1913.	Numers, Gustaf Von (1848-1913)	1848	1913	 1
Kingelin, Abrahamus	1755-1808.	Kingelin, Abrahamus (1755-1808)	1755	1808	 1
Mäkinen, Eero	1886-1953.	Mäkinen, Eero (1886-1953)	1886	1953	 1
Ungius, Petrus Johannis	k. 1655.	Ungius, Petrus Johannis (1655-NA)	1655	NA	 1
Stenbäck, Ottilia	1848-1939.	Stenbäck, Ottilia (1848-1939)	1848	1939	 1
Johansson, Erik	1867-1944.	Johansson, Erik (1867-1944)	1867	1944	 1
Jalkanen, Kaarlo Jonathan	1864-1917.	Jalkanen, Kaarlo Jonathan (1864-1917)	1864	1917	 1
Nylander, Anders Andersson	s. 1727	Nylander, Anders Andersson (1727-NA)	1727	NA	 1
Bange, Andreas Andreae	k. 1719	Bange, Andreas Andreae (1719-NA)	1719	NA	 1
Maestertius, Jacobus	1610-1658.	Maestertius, Jacobus (1610-1658)	1610	1658	 1
Hallenberg, Jonas	1748-1834.	Hallenberg, Jonas (1748-1834)	1748	1834	 1
Sundius, Jacobus	1772-1838	Sundius, Jacobus (1772-1838)	1772	1838	 1
Deutsch, David Henrici	1735-1783	Deutsch, David Henrici (1735-1783)	1735	1783	 1
Liinamaa, Hilja	1876-1935.	Liinamaa, Hilja (1876-1935)	1876	1935	 1
Nevanlinna, O	1867-1927.	Nevanlinna, O (1867-1927)	1867	1927	 1
Brenner, Sophia Elisabeth	1659-1730	Brenner, Sophia Elisabeth (1659-1730)	1659	1730	 1
Gavelius, Petrus Eliae	1686-1728.	Gavelius, Petrus Eliae (1686-1728)	1686	1728	 1
Pacchalenius, Benjamin Andersson	k. 1707.	Pacchalenius, Benjamin Andersson (1707-NA)	1707	NA	 1
Tiander, Karl	1873-1938.	Tiander, Karl (1873-1938)	1873	1938	 1
Kuoharinen, Pekka	1791-1858	Kuoharinen, Pekka (1791-1858)	1791	1858	 1
Lindgren, Anton Wilhelm	1831-1902.	Lindgren, Anton Wilhelm (1831-1902)	1831	1902	 1
Dannholm, Oskar	1847-1930.	Dannholm, Oskar (1847-1930)	1847	1930	 1
Bergholm, Axel	1841-1924.	Bergholm, Axel (1841-1924)	1841	1924	 1
Peitzius, Martinus Gabrielis	1716-1782.	Peitzius, Martinus Gabrielis (1716-1782)	1716	1782	 1
Fleming, Herman Hermansson	s. n. 1654, k. 1718	Fleming, Herman Hermansson (1654-1718)	1654	1718	 1
Teet, Ivarus Ivari	1638-1682.	Teet, Ivarus Ivari (1638-1682)	1638	1682	 1
Hoffrenius, Henricus Johannis	k. 1710.	Hoffrenius, Henricus Johannis (1710-NA)	1710	NA	 1
Castrén, Matias Aleksanteri	1813-1852.	Castrén, Matias Aleksanteri (1813-1852)	1813	1852	 1
Meurling, Georgius	1698-1741	Meurling, Georgius (1698-1741)	1698	1741	 1
Vuorio, Otto	1886-	Vuorio, Otto (1886-NA)	1886	NA	 1
Relander, H. M. J	1865-1947.	Relander, H M J (1865-1947)	1865	1947	 1
Peldan, Isaacus	1699-1748.	Peldan, Isaacus (1699-1748)	1699	1748	 1
Päiviö, Aku	1879-1956.	Päiviö, Aku (1879-1956)	1879	1956	 1
Lagus, Wilhelmus Gabriel	1786-1859	Lagus, Wilhelmus Gabriel (1786-1859)	1786	1859	 1
Roos, Samuel	1792-1878.	Roos, Samuel (1792-1878)	1792	1878	 1
Giers, Carolus Robertus	1740-1791	Giers, Carolus Robertus (1740-1791)	1740	1791	 1
Berner, Aksel	1843-1892.	Berner, Aksel (1843-1892)	1843	1892	 1
Loffman, Carl Gustav	1731-1794.	Loffman, Carl Gustav (1731-1794)	1731	1794	 1
Björkman, Fredrik Adolf	1753-1807.	Björkman, Fredrik Adolf (1753-1807)	1753	1807	 1
Julenius, Jacobus Zachariae	k. 1691.	Julenius, Jacobus Zachariae (1691-NA)	1691	NA	 1
Fellman, Jacob	1795-1875.	Fellman, Jacob (1795-1875)	1795	1875	 1
Böök, Emil	1835-1914.	Böök, Emil (1835-1914)	1835	1914	 1
Scriver, Christian	1629-1693	Scriver, Christian (1629-1693)	1629	1693	 1
Sjöblom, Hannes	1874-1944	Sjöblom, Hannes (1874-1944)	1874	1944	 1
Colliander, Johannes Erlandi	1649-1726.	Colliander, Johannes Erlandi (1649-1726)	1649	1726	 1
Ingman, Alexander	1758-1795	Ingman, Alexander (1758-1795)	1758	1795	 1
Costiander, Malakias	1815-1870.	Costiander, Malakias (1815-1870)	1815	1870	 1
Baudewin, Johann	1641-1699	Baudewin, Johann (1641-1699)	1641	1699	 1
Hwasser, Israel	1790-1860	Hwasser, Israel (1790-1860)	1790	1860	 1
Molin, Gustavus Nicolaus	1779-1824	Molin, Gustavus Nicolaus (1779-1824)	1779	1824	 1
Vigelius, Lars Olofsson	s. n. 1630, k. 1672.	Vigelius, Lars Olofsson (1630-1672)	1630	1672	 1
Liinamaa-Pärssinen, Hilja	1876-1935.	Liinamaa-pärssinen, Hilja (1876-1935)	1876	1935	 1
Kiellander, Arvidus Johannis	1671-1743.	Kiellander, Arvidus Johannis (1671-1743)	1671	1743	 1
Tersmeden, Carl	1715-1797.	Tersmeden, Carl (1715-1797)	1715	1797	 1
Karttunen, Uuno	1874-1959.	Karttunen, Uuno (1874-1959)	1874	1959	 1
Hasselbom, Nicolaus	1690-1764.	Hasselbom, Nicolaus (1690-1764)	1690	1764	 1
Chydenius, Samuel Jacobi	1727-1757	Chydenius, Samuel Jacobi (1727-1757)	1727	1757	 1
Hällberg, S. W	s. 1861.	Hällberg, S W (1861-NA)	1861	NA	 1
Fontell, Abram	n. 1690-1748	Fontell, Abram (1690-1748)	1690	1748	 1
Homén, Olaf	1879-1949.	Homén, Olaf (1879-1949)	1879	1949	 1
Kollanius, Abraham Abrahamsson	k. 1667.	Kollanius, Abraham Abrahamsson (1667-NA)	1667	NA	 1
Pippingsköld, Josephus Gustavi	1760-1815	Pippingsköld, Josephus Gustavi (1760-1815)	1760	1815	 1
Hämäläinen, Albert	1881-1949.	Hämäläinen, Albert (1881-1949)	1881	1949	 1
Durchman, Fr. Osk	1813-1880.	Durchman, Fr Osk (1813-1880)	1813	1880	 1
Svanljung, Johan Kristian	1829-1891.	Svanljung, Johan Kristian (1829-1891)	1829	1891	 1
Bruun, Constantinus	1790-1876.	Bruun, Constantinus (1790-1876)	1790	1876	 1
Tamminen, Em	1852-1946.	Tamminen, Em (1852-1946)	1852	1946	 1
Johansson, Ossi	1886-1941.	Johansson, Ossi (1886-1941)	1886	1941	 1
Hildeen, Esaias Henrici	1740-1789.	Hildeen, Esaias Henrici (1740-1789)	1740	1789	 1
Wegelius, Jacobus Henrici	1768-1804	Wegelius, Jacobus Henrici (1768-1804)	1768	1804	 1
Paulinus, Simon Pauli	1652-1691	Paulinus, Simon Pauli (1652-1691)	1652	1691	 1
Martinius, Matthias Martini	1655-1728.	Martinius, Matthias Martini (1655-1728)	1655	1728	 1
Lund, Carolus	1638-1715	Lund, Carolus (1638-1715)	1638	1715	 1
Schilling, Gustavus Christophori	1640-1682.	Schilling, Gustavus Christophori (1640-1682)	1640	1682	 1
Örnhielm, Claes Arvidsson	1627-1695	örnhielm, Claes Arvidsson (1627-1695)	1627	1695	 1
Sauramo, Lauri	1875-1919.	Sauramo, Lauri (1875-1919)	1875	1919	 1
Schauman, August	1826-1896.	Schauman, August (1826-1896)	1826	1896	 1
A. H	1700-luku.	A,  (1700-NA)	1700	NA	 1
Ulner, Carl	1739-1801	Ulner, Carl (1739-1801)	1739	1801	 1
Alstrin, Lars	k. 1775.	Alstrin, Lars (1775-NA)	1775	NA	 1
Laurén, L. L	1824-1884	Laurén, L L (1824-1884)	1824	1884	 1
Helsingberg, Johannes	1746-1812	Helsingberg, Johannes (1746-1812)	1746	1812	 1
Ignatius, Kaarlo	1869-1942.	Ignatius, Kaarlo (1869-1942)	1869	1942	 1
Folkenius, Sveno Laurentii	k. 1651	Folkenius, Sveno Laurentii (1651-NA)	1651	NA	 1
Liljenstrand, Axel	1821-1895.	Liljenstrand, Axel (1821-1895)	1821	1895	 1
Kreander, Salomon	1755-1792	Kreander, Salomon (1755-1792)	1755	1792	 1
Tammelinus, Matthias Isaaci	k. 1722	Tammelinus, Matthias Isaaci (1722-NA)	1722	NA	 1
Lütkemann, Joachim	1608-1655	Lütkemann, Joachim (1608-1655)	1608	1655	 1
Anander, Abrahamus Andreae	n. 1673-1732.	Anander, Abrahamus Andreae (1673-1732)	1673	1732	 1
Hammarström, Nanny	1870-1953.	Hammarström, Nanny (1870-1953)	1870	1953	 1
